part,category,status,source,pdf,img
RPI4-PRODUCT-BRIEF,Microcontrollers,skip_exists,,rpi4-product-brief.pdf,rpi4-product-brief.png
RPI5-PRODUCT-BRIEF,Microcontrollers,skip_exists,,rpi5-product-brief.pdf,rpi5-product-brief.png
RP2040,Microcontrollers,skip_exists,,rp2040.pdf,rp2040.png
RPI-PICO,Microcontrollers,skip_exists,,rpi-pico.pdf,rpi-pico.png
RPI-PICO-W,Microcontrollers,skip_exists,,rpi-pico-w.pdf,rpi-pico-w.png
ESP32,Microcontrollers,skip_exists,,esp32.pdf,esp32.png
ESP8266EX,Microcontrollers,fail:alldatasheet_no_download_link,https://www.alldatasheet.com/,esp8266ex.pdf,esp8266ex.png
ESP32-S2,Microcontrollers,skip_exists,,esp32-s2.pdf,esp32-s2.png
ESP32-S3,Microcontrollers,skip_exists,,esp32-s3.pdf,esp32-s3.png
ESP32-C3,Microcontrollers,skip_exists,,esp32-c3.pdf,esp32-c3.png
ESP32-C6,Microcontrollers,skip_exists,,esp32-c6.pdf,esp32-c6.png
JETSON-NANO-DEVKIT,Microcontrollers,skip_exists,,jetson-nano-devkit.pdf,jetson-nano-devkit.png
JETSON-NANO-MODULE,Microcontrollers,fail:alldatasheet_no_download_link,https://www.alldatasheet.com/,jetson-nano-module.pdf,jetson-nano-module.png
stm32f103c8,Microcontrollers,skip_exists,,stm32f103c8.pdf,stm32f103c8.png
stm32f103rb,Microcontrollers,skip_exists,,stm32f103rb.pdf,stm32f103rb.png
stm32f401cc,Microcontrollers,skip_exists,,stm32f401cc.pdf,stm32f401cc.png
stm32f405rg,Microcontrollers,skip_exists,,stm32f405rg.pdf,stm32f405rg.png
stm32f407vg,Microcontrollers,skip_exists,,stm32f407vg.pdf,stm32f407vg.png
stm32f411ce,Microcontrollers,skip_exists,,stm32f411ce.pdf,stm32f411ce.png
stm32f446re,Microcontrollers,skip_exists,,stm32f446re.pdf,stm32f446re.png
stm32g031k8,Microcontrollers,skip_exists,,stm32g031k8.pdf,stm32g031k8.png
stm32g0b1re,Microcontrollers,skip_exists,,stm32g0b1re.pdf,stm32g0b1re.png
stm32g474re,Microcontrollers,skip_exists,,stm32g474re.pdf,stm32g474re.png
stm32h743zi,Microcontrollers,skip_exists,,stm32h743zi.pdf,stm32h743zi.png
stm32l031k6,Microcontrollers,skip_exists,,stm32l031k6.pdf,stm32l031k6.png
stm32l072cz,Microcontrollers,skip_exists,,stm32l072cz.pdf,stm32l072cz.png
stm32l476rg,Microcontrollers,skip_exists,,stm32l476rg.pdf,stm32l476rg.png
stm32wb55rg,Microcontrollers,skip_exists,,stm32wb55rg.pdf,stm32wb55rg.png
drv8833,Motor Drivers,skip_exists,,drv8833.pdf,drv8833.png
drv8825,Motor Drivers,skip_exists,,drv8825.pdf,drv8825.png
drv8871,Motor Drivers,skip_exists,,drv8871.pdf,drv8871.png
drv8876,Motor Drivers,skip_exists,,drv8876.pdf,drv8876.png
drv8835,Motor Drivers,skip_exists,,drv8835.pdf,drv8835.png
tps54202,Power,skip_exists,,tps54202.pdf,tps54202.png
tps5430,Power,skip_exists,,tps5430.pdf,tps5430.png
tps62160,Power,skip_exists,,tps62160.pdf,tps62160.png
tps63020,Power,skip_exists,,tps63020.pdf,tps63020.png
tps61023,Power,skip_exists,,tps61023.pdf,tps61023.png
lm2596,Power,skip_exists,,lm2596.pdf,lm2596.png
lm2576,Power,skip_exists,,lm2576.pdf,lm2576.png
lm7805,Power,fail:alldatasheet_no_download_link,https://www.alldatasheet.com/,lm7805.pdf,lm7805.png
lm7812,Power,fail:alldatasheet_no_download_link,https://www.alldatasheet.com/,lm7812.pdf,lm7812.png
lm317,Power,skip_exists,,lm317.pdf,lm317.png
lm1117,Power,skip_exists,,lm1117.pdf,lm1117.png
lm358,Components,skip_exists,,lm358.pdf,lm358.png
lm324,Components,skip_exists,,lm324.pdf,lm324.png
lm393,Components,skip_exists,,lm393.pdf,lm393.png
lm339,Components,skip_exists,,lm339.pdf,lm339.png
ne555,Components,skip_exists,,ne555.pdf,ne555.png
lm555,Components,skip_exists,,lm555.pdf,lm555.png
sn74hc00,Components,skip_exists,,sn74hc00.pdf,sn74hc00.png
sn74hc01,Components,fail:alldatasheet_no_download_link,https://www.alldatasheet.com/,sn74hc01.pdf,sn74hc01.png
sn74hc02,Components,skip_exists,,sn74hc02.pdf,sn74hc02.png
sn74hc03,Components,skip_exists,,sn74hc03.pdf,sn74hc03.png
