part,category,url,status,file
sn74hc00,Logic_74HC,https://www.ti.com/lit/ds/symlink/sn74hc00.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_74HC/sn74hc00.pdf
sn74hc02,Logic_74HC,https://www.ti.com/lit/ds/symlink/sn74hc02.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_74HC/sn74hc02.pdf
sn74hc04,Logic_74HC,https://www.ti.com/lit/ds/symlink/sn74hc04.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_74HC/sn74hc04.pdf
sn74hc08,Logic_74HC,https://www.ti.com/lit/ds/symlink/sn74hc08.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_74HC/sn74hc08.pdf
sn74hc10,Logic_74HC,https://www.ti.com/lit/ds/symlink/sn74hc10.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_74HC/sn74hc10.pdf
sn74hc11,Logic_74HC,https://www.ti.com/lit/ds/symlink/sn74hc11.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_74HC/sn74hc11.pdf
sn74hc14,Logic_74HC,https://www.ti.com/lit/ds/symlink/sn74hc14.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_74HC/sn74hc14.pdf
sn74hc20,Logic_74HC,https://www.ti.com/lit/ds/symlink/sn74hc20.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_74HC/sn74hc20.pdf
sn74hc21,Logic_74HC,https://www.ti.com/lit/ds/symlink/sn74hc21.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_74HC/sn74hc21.pdf
sn74hc30,Logic_74HC,https://www.ti.com/lit/ds/symlink/sn74hc30.pdf,wget_failed(8),/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_74HC/sn74hc30.pdf
sn74hc32,Logic_74HC,https://www.ti.com/lit/ds/symlink/sn74hc32.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_74HC/sn74hc32.pdf
sn74hc33,Logic_74HC,https://www.ti.com/lit/ds/symlink/sn74hc33.pdf,wget_failed(8),/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_74HC/sn74hc33.pdf
sn74hc38,Logic_74HC,https://www.ti.com/lit/ds/symlink/sn74hc38.pdf,wget_failed(8),/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_74HC/sn74hc38.pdf
sn74hc40,Logic_74HC,https://www.ti.com/lit/ds/symlink/sn74hc40.pdf,wget_failed(8),/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_74HC/sn74hc40.pdf
sn74hc42,Logic_74HC,https://www.ti.com/lit/ds/symlink/sn74hc42.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_74HC/sn74hc42.pdf
sn74hc47,Logic_74HC,https://www.ti.com/lit/ds/symlink/sn74hc47.pdf,wget_failed(8),/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_74HC/sn74hc47.pdf
sn74hc48,Logic_74HC,https://www.ti.com/lit/ds/symlink/sn74hc48.pdf,wget_failed(8),/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_74HC/sn74hc48.pdf
sn74hc51,Logic_74HC,https://www.ti.com/lit/ds/symlink/sn74hc51.pdf,wget_failed(8),/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_74HC/sn74hc51.pdf
